id,name,birth_date,photo,country_id
1,Aaron Ashmore,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/kkGwF2nhgnYLUfXuH2CDvrHeUay.jpg,1
2,Aaron Aziz,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/wckZtLwFUZ4iKwPxqfCtlVbdQnc.jpg,5
3,Abby Ryder Fortson,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/DPIxORe7Sco6xVIKVbIsHlRYCI.jpg,6
4,Adria Arjona,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/1pRUjjrhnn1EzFz5dxbFAxcSCBC.jpg,8
5,Aghniny Haque,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/5pFyssmQGxxCu5geM4WgCBJGrcU.jpg,6
6,Agla Artalidia,01/01/1980,https://img.freepik.com/free-vector/businessman-character-avatar-isolated_24877-60111.jpg,7
7,Ahn Bo-hyun,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/2pNNCnjI1TwxjyP3Y4cJln1wOKE.jpg,6
8,Ahn Jae-wook,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/dRFl6hb3LVTNtGFCvizaKoNhjKe.jpg,5
9,Aidan Gillen,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/ju5ho6nnwOQ2QLGLnDP9yOZhGpb.jpg,3
10,Aileen Wu,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/gjW0BFkxowjzOVFyVMfgpCTkyl0.jpg,6
11,Aishwarya Rai Bachchan,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/tXlRA4gZgUiKx2P1odBpyXjnkbX.jpg,9
12,Akira Kamiya,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/tJRMwbWFObv03KhATALs0Xbbgq7.jpg,3
13,Alan Cumming,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/9ENvxomhVWXTi0S0I13agqRMBOd.jpg,4
14,Alan Tudyk,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/jUuUbPuMGonFT5E2pcs4alfqaCN.jpg,4
15,Albert Brooks,01/01/1980,https://media.themoviedb.org/t/p/w300_and_h450_bestv2/zkOBmmSgOsMPGs2DvpM8E4dXpBk.jpg,8
