id,judul,poster,alt_judul,tahun,negara_id,sinopsis,availability,linktrailer,status
1,Crash Landing on You,https://upload.wikimedia.org/wikipedia/id/6/64/Crash_Landing_on_You_main_poster.jpg,-,2019,6,The absolute top secret love story of a chaebol heiress who made an emergency landing in North Korea because of a paragliding accident and a North Korean special officer who falls in love with her and who is hiding and protecting her.,Netflix ,https://youtu.be/GVQGWgeVc4k?si=52NMaAQYHKXEtxPT,Approved
2,The Goblin,https://upload.wikimedia.org/wikipedia/id/6/69/Golbin_Poster.jpg,-,2021,6,"Former gangster Doo-hyun, known as ""Goblin"", served time for his boss' murder to protect Young-min. Out of prison, Young-min kidnaps Doo-hyun's daughter, forcing him to seek vengeance and reclaim his ""Goblin"" persona.",Netflix ,https://youtu.be/vSQ-2incUEM?si=YkoqreKTEvOwRMHz,Approved
3,Itaewon Class,https://upload.wikimedia.org/wikipedia/id/f/f9/Itaewon_Class_poster.jpg,-,2020,6,"An ex-con opens a street bar in Itaewon, while also seeking revenge on the family who was responsible for his father's death.",Netflix ,https://youtu.be/NNP8m3gaaFE?si=naxieCcmL1ZoCZjp,Approved
4,Vincenzo,https://awsimages.detik.net.id/community/media/visual/2021/03/01/vincenzo-1.png,-,2021,6,"During a visit to his motherlrequire('pg')nd, a Korean-Italian Mafia lawyer gives an unrivaled conglomerate a taste of its own medicine with a side of justice.",Netflix ,https://youtu.be/_J8tYxYB_YU?si=YnLEiQpH7CLVECMW,Approved
5,Descendants of the Sun,https://upload.wikimedia.org/wikipedia/id/6/6e/DescendantsoftheSun.jpg,-,2016,6,This drama tells of the love story that develops between a surgeon and a special forces officer.,Netflix ,https://youtu.be/XyzaMpAVm3s?si=C9-C3laIbJZ3tS6w,Approved
6,The Maze Runner,https://posters.movieposterdb.com/14_08/2014/1790864/s_1790864_fe41cf34.jpg,-,2014,10,"Awakening in an elevator, remembering nothing of his past, Thomas emerges into a world of about thirty teenage boys, all without past memories, who have learned to survive under their own set of rules in a completely enclosed environment, subsisting on their own agriculture and supplies. With a new boy arriving every thirty days, the group has been in ""The Glade"" for three years, trying to find a way to escape through the Maze that surrounds their living space (patrolled by cyborg monsters named 'Grievers'). They have begun to give up hope when a comatose girl arrives with a strange note, and their world begins to change with the boys dividing into two factions: those willing to risk their lives to escape and those wanting to hang onto what they've got and survive.—KelseyJ",Netflix ,https://youtu.be/AwwbhhjQ9Xk?si=PJjZKZH7amEgeBhA,Approved
7,The Maze Runner: Scorch Trials,https://posters.movieposterdb.com/15_05/2015/4046784/s_4046784_cbb64415.jpg,-,2015,10,"The second chapter of the epic ""Maze Runner"" saga. Thomas (Dylan O'Brien) and his fellow Gladers face their greatest challenge yet: searching for clues about the mysterious and powerful organization known as WCKD. Their journey takes them to the Scorch, a desolate landscape filled with unimaginable obstacles. Teaming up with resistance fighters, the Gladers take on WCKD's vastly superior forces and uncover its shocking plans for them all.—20th Century Fox",Netflix ,https://youtu.be/-44_igsZtgU?si=7ufXYEqfDzdeZRy2,Approved
8,Maze Runner: The Death Cure,https://posters.movieposterdb.com/20_06/2018/4500922/s_4500922_2663b144.jpg,-,2018,10,"In the epic finale to The Maze Runner Saga, Thomas leads his group of escaped Gladers on their final and most dangerous mission yet. To save their friends, they must break into the legendary last city, a WCKD controlled labyrinth that may turn out to be the deadliest maze of all. Anyone who makes it out alive will get the answers to the questions the Gladers have been asking since they first arrived in the maze. Will Thomas and the crew make it out alive? Or will Ava Paige get her way?",Netflix ,https://youtu.be/4-BTxXm8KSg?si=RHS5aQagm2ylIRLq,Approved
9,Divergent,https://posters.movieposterdb.com/14_03/2014/1840309/s_1840309_2f948395.jpg,-,2014,10,"In a world divided by factions based on virtues, Tris learns she's Divergent and won't fit in. When she discovers a plot to destroy Divergents, Tris and the mysterious Four must find out what makes Divergents dangerous before it's too late.",Netflix ,https://youtu.be/Aw7Eln_xuWc?si=k4I06AV1XEC1TYzb,Approved
10,Insurgent,https://posters.movieposterdb.com/15_01/2015/2908446/s_2908446_b96edb43.jpg,The Divergent Series: Insurgent,2015,10,Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart with the help from others on her side.,Netflix ,https://youtu.be/OBn_LRp-D7U?si=PozBNB6ftInKVdDe,Approved
11,The Boys,https://posters.movieposterdb.com/20_01/2019/1190634/l_1190634_22fcc492.jpg,-,2019,10,A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.,Amazon Prime,https://www.youtube.com/watch?v=5SKP1_F7ReE,Approved
12,13 Reasons Why,https://posters.movieposterdb.com/21_02/2017/1837492/s_1837492_8fa1eebf.jpg,-,2017,10,"Follows teenager Clay Jensen, in his quest to uncover the story behind his classmate and crush, Hannah, and her decision to end her life.",Netflix,https://www.youtube.com/watch?v=QkT-HIMSrRk,Approved
13,500 days of summer,https://posters.movieposterdb.com/09_10/2009/1022603/l_1022603_997c5a61.jpg,-,2009,10,"After being dumped by the girl he believes to be his soulmate, hopeless romantic Tom Hansen reflects on their relationship to try and figure out where things went wrong and how he can win her back.",Netflix,https://www.youtube.com/watch?v=PsD0NpFSADM,Approved
14,Sherlock,https://posters.movieposterdb.com/10_08/2010/1475582/l_1475582_6c4d4dac.jpg,-,2010,10,"The quirky spin on Conan Doyle's iconic sleuth pitches him as a ""high-functioning sociopath"" in modern-day London. Assisting him in his investigations: Afghanistan War vet John Watson, who's introduced to Holmes by a mutual acquaintance.",Amazon Prime,https://www.youtube.com/watch?v=gGqWqGOSTGQ,Approved
15,The Butterfly Effect,https://posters.movieposterdb.com/12_11/2004/289879/s_289879_365cbc14.jpg,-,2004,10,"Evan Treborn suffers blackouts during significant events of his life. As he grows up, he finds a way to remember these lost memories and a supernatural way to alter his life by reading his journal.",Netiflix,https://www.youtube.com/watch?v=LOS5YgJkjZ0,Approved
16,Twenty Five Twenty One,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/yCQFnmYhYf7XALMka2EoBRAFmPO.jpg,Seumuldaseot Seumulhana,2022,6,"In a time when dreams seem out of reach, a teen fencer pursues big ambitions and meets a hardworking young man who seeks to rebuild his life. At 22 and 18, they say each other's names for the first time, at 25 and 21, they fall in love.",Netflix,https://youtu.be/n7F8o-SoK8s?feature=shared,Approved
17,Mencuri Raden Saleh,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/1fdqRcgEYNkXCnnKAzz2JtFnUv7.jpg,Stealing Raden Saleh,2022,3,"To save his father, a master forger sets out to steal an invaluable painting with the help of a motley crew of specialists.",Netflix,https://youtu.be/DN3sRz_veBU?feature=shared,Approved
18,Stranger Things,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/49WJfeN0moxb9IPfGn8AIqMGskD.jpg,-,2016,10,"In 1980s Indiana, a group of young friends witness supernatural forces and secret government exploits. As they search for answers, the children unravel a series of extraordinary mysteries.",Netflix,https://youtu.be/mnd7sFt5c3A?feature=shared,Approved
19,Alice in BorderLand,https://www.themoviedb.org/t/p/w600_and_h900_bestv2/20mOwAAPwZ1vLQkw0fvuQHiG7bO.jpg,Imawa no Kuni no Arisu,2020,4,"Obsessed gamer Arisu suddenly finds himself in a strange, emptied-out version of Tokyo in which he and his friends must compete in dangerous games in order to survive.",Netflix,https://youtu.be/49_44FFKZ1M?feature=shared,Approved
